Genotype,loc,Yield,Stage,Module,Year,Seas,Env
MT4025,Laguna,4.929729921,1,1,2012,DS,LagD
MT4025,Nueva Ecija,7.513575684,1,1,2012,DS,NueD
MT4027,Agusan,3.955752533,1,1,2012,DS,AguD
MT4027,Bohol,3.106660494,1,1,2012,DS,BohD
MT4027,Laguna,4.704764871,1,1,2012,DS,LagD
MT4027,Nueva Ecija,7.780776691,1,1,2012,DS,NueD
MT4029,Agusan,4.375690145,1,1,2012,DS,AguD
MT4029,Bohol,3.397881814,1,1,2012,DS,BohD
MT4029,Laguna,5.142449157,1,1,2012,DS,LagD
MT4029,Nueva Ecija,7.727021938,1,1,2012,DS,NueD
MT4031,Agusan,4.31800914,1,1,2012,DS,AguD
MT4031,Bohol,3.374992881,1,1,2012,DS,BohD
MT4031,Laguna,4.986107969,1,1,2012,DS,LagD
MT4031,Nueva Ecija,7.959829899,1,1,2012,DS,NueD
MT4037,Agusan,4.131825043,1,1,2012,DS,AguD
MT4037,Bohol,2.785635303,1,1,2012,DS,BohD
MT4037,Laguna,5.068275006,1,1,2012,DS,LagD
MT4037,Nueva Ecija,7.955126758,1,1,2012,DS,NueD
MT4039,Agusan,4.959852456,1,1,2012,DS,AguD
MT4039,Bohol,3.777787169,1,1,2012,DS,BohD
MT4039,Laguna,5.730402354,1,1,2012,DS,LagD
MT4039,Nueva Ecija,8.537101523,1,1,2012,DS,NueD
MT4040,Agusan,4.34919859,1,1,2012,DS,AguD
MT4040,Bohol,3.580103779,1,1,2012,DS,BohD
MT4040,Laguna,4.990294862,1,1,2012,DS,LagD
MT4040,Nueva Ecija,7.911058341,1,1,2012,DS,NueD
MT4042,Agusan,4.29687462,1,1,2012,DS,AguD
MT4042,Bohol,2.123695637,1,1,2012,DS,BohD
MT4042,Laguna,5.191763068,1,1,2012,DS,LagD
MT4042,Nueva Ecija,7.832702034,1,1,2012,DS,NueD
MT4044,Agusan,4.63709166,1,1,2012,DS,AguD
MT4044,Bohol,3.537776512,1,1,2012,DS,BohD
MT4044,Laguna,4.976974358,1,1,2012,DS,LagD
MT4044,Nueva Ecija,8.019206438,1,1,2012,DS,NueD
MT4045,Agusan,4.348980631,1,1,2012,DS,AguD
MT4045,Bohol,3.200400676,1,1,2012,DS,BohD
MT4045,Laguna,5.129012883,1,1,2012,DS,LagD
MT4045,Nueva Ecija,8.046568161,1,1,2012,DS,NueD
MT4048,Agusan,4.172266786,1,1,2012,DS,AguD
MT4048,Bohol,2.840002667,1,1,2012,DS,BohD
MT4048,Laguna,4.76020826,1,1,2012,DS,LagD
MT4048,Nueva Ecija,7.760822573,1,1,2012,DS,NueD
MT4051,Agusan,3.961185228,1,1,2012,DS,AguD
MT4051,Bohol,2.035267161,1,1,2012,DS,BohD
MT4051,Laguna,4.943707137,1,1,2012,DS,LagD
MT4051,Nueva Ecija,7.794835091,1,1,2012,DS,NueD
MT4052,Agusan,3.907106266,1,1,2012,DS,AguD
MT4052,Bohol,3.185654698,1,1,2012,DS,BohD
MT4052,Laguna,4.820866086,1,1,2012,DS,LagD
MT4052,Nueva Ecija,7.692488292,1,1,2012,DS,NueD
MT4056,Agusan,4.086298132,1,1,2012,DS,AguD
MT4056,Bohol,3.365160286,1,1,2012,DS,BohD
MT4056,Laguna,4.78308135,1,1,2012,DS,LagD
MT4056,Nueva Ecija,7.732923285,1,1,2012,DS,NueD
MT4058,Agusan,4.305001753,1,1,2012,DS,AguD
MT4058,Bohol,3.273011711,1,1,2012,DS,BohD
MT4058,Laguna,5.158541384,1,1,2012,DS,LagD
MT4058,Nueva Ecija,7.433904052,1,1,2012,DS,NueD
MT4060,Agusan,4.178840259,1,1,2012,DS,AguD
MT4060,Bohol,3.386967199,1,1,2012,DS,BohD
MT4060,Laguna,5.074838753,1,1,2012,DS,LagD
MT4060,Nueva Ecija,7.821883691,1,1,2012,DS,NueD
MT4061,Agusan,3.978871055,1,1,2012,DS,AguD
MT4061,Bohol,3.675557416,1,1,2012,DS,BohD
MT4061,Laguna,5.055209614,1,1,2012,DS,LagD
MT4061,Nueva Ecija,8.132836877,1,1,2012,DS,NueD
MT4062,Agusan,3.604379259,1,1,2012,DS,AguD
MT4062,Bohol,3.181794128,1,1,2012,DS,BohD
MT4062,Laguna,4.726732353,1,1,2012,DS,LagD
MT4062,Nueva Ecija,7.433030548,1,1,2012,DS,NueD
MT4063,Agusan,4.140524026,1,1,2012,DS,AguD
MT4063,Bohol,3.217761049,1,1,2012,DS,BohD
MT4063,Laguna,5.09406093,1,1,2012,DS,LagD
MT4063,Nueva Ecija,7.627172496,1,1,2012,DS,NueD
MT4064,Agusan,4.055334298,1,1,2012,DS,AguD
MT4064,Bohol,2.815279633,1,1,2012,DS,BohD
MT4064,Laguna,4.923453305,1,1,2012,DS,LagD
MT4064,Nueva Ecija,7.607636748,1,1,2012,DS,NueD
MT4068,Agusan,4.922300297,1,1,2012,DS,AguD
MT4068,Bohol,3.723085693,1,1,2012,DS,BohD
MT4068,Laguna,5.224572067,1,1,2012,DS,LagD
MT4068,Nueva Ecija,8.683995863,1,1,2012,DS,NueD
MT4070,Agusan,4.340083401,1,1,2012,DS,AguD
MT4070,Bohol,3.294629275,1,1,2012,DS,BohD
MT4070,Laguna,5.583891747,1,1,2012,DS,LagD
MT4070,Nueva Ecija,8.113776864,1,1,2012,DS,NueD
MT4072,Agusan,3.799906648,1,1,2012,DS,AguD
MT4072,Bohol,3.436522665,1,1,2012,DS,BohD
MT4072,Laguna,4.994328336,1,1,2012,DS,LagD
MT4072,Nueva Ecija,7.776957668,1,1,2012,DS,NueD
MT4074,Agusan,4.022528476,1,1,2012,DS,AguD
MT4074,Bohol,3.120498252,1,1,2012,DS,BohD
MT4074,Laguna,4.490722403,1,1,2012,DS,LagD
MT4074,Nueva Ecija,7.555264555,1,1,2012,DS,NueD
MT4076,Agusan,4.408074003,1,1,2012,DS,AguD
MT4076,Bohol,3.658072432,1,1,2012,DS,BohD
MT4076,Laguna,4.755466142,1,1,2012,DS,LagD
MT4076,Nueva Ecija,7.971681208,1,1,2012,DS,NueD
MT4077,Agusan,4.248319406,1,1,2012,DS,AguD
MT4077,Bohol,3.445868661,1,1,2012,DS,BohD
MT4077,Laguna,5.20349947,1,1,2012,DS,LagD
MT4077,Nueva Ecija,7.80306507,1,1,2012,DS,NueD
MT4078,Agusan,4.400219395,1,1,2012,DS,AguD
MT4078,Bohol,3.380000973,1,1,2012,DS,BohD
MT4078,Laguna,5.16484704,1,1,2012,DS,LagD
MT4078,Nueva Ecija,7.740663015,1,1,2012,DS,NueD
MT4079,Agusan,4.668821615,1,1,2012,DS,AguD
MT4079,Bohol,3.368074611,1,1,2012,DS,BohD
MT4079,Laguna,5.53259079,1,1,2012,DS,LagD
MT4079,Nueva Ecija,8.501117304,1,1,2012,DS,NueD
MT4083,Agusan,4.394939034,1,1,2012,DS,AguD
MT4083,Bohol,3.571496916,1,1,2012,DS,BohD
MT4083,Laguna,5.176322316,1,1,2012,DS,LagD
MT4083,Nueva Ecija,8.131090256,1,1,2012,DS,NueD
MT4084,Agusan,4.533583133,1,1,2012,DS,AguD
MT4084,Bohol,3.316580923,1,1,2012,DS,BohD
MT4084,Laguna,5.273622894,1,1,2012,DS,LagD
MT4084,Nueva Ecija,7.79618906,1,1,2012,DS,NueD
MT4086,Agusan,3.718907648,1,1,2012,DS,AguD
MT4086,Bohol,2.367558833,1,1,2012,DS,BohD
MT4086,Laguna,4.304435311,1,1,2012,DS,LagD
MT4086,Nueva Ecija,7.386342312,1,1,2012,DS,NueD
MT4089,Agusan,3.895170222,1,1,2012,DS,AguD
MT4089,Bohol,3.351010832,1,1,2012,DS,BohD
MT4089,Laguna,4.513551606,1,1,2012,DS,LagD
MT4089,Nueva Ecija,7.601011977,1,1,2012,DS,NueD
MT4090,Agusan,3.096836482,1,1,2012,DS,AguD
MT4090,Bohol,2.114772717,1,1,2012,DS,BohD
MT4090,Laguna,3.477639595,1,1,2012,DS,LagD
MT4090,Nueva Ecija,6.598179119,1,1,2012,DS,NueD
MT4091,Agusan,3.659487843,1,1,2012,DS,AguD
MT4091,Bohol,2.745407666,1,1,2012,DS,BohD
MT4091,Laguna,4.413727225,1,1,2012,DS,LagD
MT4091,Nueva Ecija,7.331319101,1,1,2012,DS,NueD
MT4092,Agusan,4.24791845,1,1,2012,DS,AguD
MT4092,Bohol,3.633708633,1,1,2012,DS,BohD
MT4092,Laguna,5.690702607,1,1,2012,DS,LagD
MT4092,Nueva Ecija,8.390201541,1,1,2012,DS,NueD
MT4093,Agusan,4.533267539,1,1,2012,DS,AguD
MT4093,Bohol,2.995194804,1,1,2012,DS,BohD
MT4093,Laguna,5.15181524,1,1,2012,DS,LagD
MT4093,Nueva Ecija,7.998020162,1,1,2012,DS,NueD
MT4097,Agusan,4.184915842,1,1,2012,DS,AguD
MT4097,Bohol,3.206806778,1,1,2012,DS,BohD
MT4097,Laguna,5.200883419,1,1,2012,DS,LagD
MT4097,Nueva Ecija,8.090562534,1,1,2012,DS,NueD
MT4098,Agusan,4.444239978,1,1,2012,DS,AguD
MT4098,Bohol,3.432424436,1,1,2012,DS,BohD
MT4098,Laguna,5.013847782,1,1,2012,DS,LagD
MT4098,Nueva Ecija,7.959009528,1,1,2012,DS,NueD
MT4103,Agusan,4.093905164,1,1,2012,DS,AguD
MT4103,Bohol,3.311484678,1,1,2012,DS,BohD
MT4103,Laguna,4.783136433,1,1,2012,DS,LagD
MT4103,Nueva Ecija,7.743558262,1,1,2012,DS,NueD
MT4104,Agusan,4.163063167,1,1,2012,DS,AguD
MT4104,Bohol,3.104947165,1,1,2012,DS,BohD
MT4104,Laguna,4.786334882,1,1,2012,DS,LagD
MT4104,Nueva Ecija,7.269525453,1,1,2012,DS,NueD
MT4106,Agusan,4.219362816,1,1,2012,DS,AguD
MT4106,Bohol,2.847978779,1,1,2012,DS,BohD
MT4106,Laguna,4.532504683,1,1,2012,DS,LagD
MT4106,Nueva Ecija,7.68688099,1,1,2012,DS,NueD
MT4107,Agusan,4.196736168,1,1,2012,DS,AguD
MT4107,Bohol,3.032762644,1,1,2012,DS,BohD
MT4107,Laguna,4.84790361,1,1,2012,DS,LagD
MT4107,Nueva Ecija,7.803099346,1,1,2012,DS,NueD
MT4111,Agusan,4.618407127,1,1,2012,DS,AguD
MT4111,Bohol,3.325258335,1,1,2012,DS,BohD
MT4111,Laguna,5.373589652,1,1,2012,DS,LagD
MT4111,Nueva Ecija,8.316088547,1,1,2012,DS,NueD
MT4112,Agusan,4.132985862,1,1,2012,DS,AguD
MT4112,Bohol,3.363908573,1,1,2012,DS,BohD
MT4112,Laguna,5.034377769,1,1,2012,DS,LagD
MT4112,Nueva Ecija,7.65704289,1,1,2012,DS,NueD
MT4113,Agusan,4.128733306,1,1,2012,DS,AguD
MT4113,Bohol,3.195880735,1,1,2012,DS,BohD
MT4113,Laguna,4.993975285,1,1,2012,DS,LagD
MT4113,Nueva Ecija,7.808967744,1,1,2012,DS,NueD
MT4114,Agusan,4.644652889,1,1,2012,DS,AguD
MT4114,Bohol,3.485502603,1,1,2012,DS,BohD
MT4114,Laguna,5.019653497,1,1,2012,DS,LagD
MT4114,Nueva Ecija,7.883933285,1,1,2012,DS,NueD
MT4116,Agusan,4.283918299,1,1,2012,DS,AguD
MT4116,Bohol,3.192919427,1,1,2012,DS,BohD
MT4116,Laguna,4.861014167,1,1,2012,DS,LagD
MT4116,Nueva Ecija,7.971219257,1,1,2012,DS,NueD
MT4122,Agusan,4.73398953,1,1,2012,DS,AguD
MT4122,Bohol,3.656150378,1,1,2012,DS,BohD
MT4122,Laguna,5.523673015,1,1,2012,DS,LagD
MT4122,Nueva Ecija,8.13745748,1,1,2012,DS,NueD
MT4123,Agusan,3.844362506,1,1,2012,DS,AguD
MT4123,Bohol,2.942050577,1,1,2012,DS,BohD
MT4123,Laguna,4.801660083,1,1,2012,DS,LagD
MT4123,Nueva Ecija,7.527938075,1,1,2012,DS,NueD
MT4124,Agusan,4.366097073,1,1,2012,DS,AguD
MT4124,Bohol,3.602696928,1,1,2012,DS,BohD
MT4124,Laguna,5.094215761,1,1,2012,DS,LagD
MT4124,Nueva Ecija,8.272028239,1,1,2012,DS,NueD
MT4125,Agusan,4.435046969,1,1,2012,DS,AguD
MT4125,Bohol,3.544079243,1,1,2012,DS,BohD
MT4125,Laguna,4.857108443,1,1,2012,DS,LagD
MT4125,Nueva Ecija,8.089542069,1,1,2012,DS,NueD
MT4126,Agusan,3.769513896,1,1,2012,DS,AguD
MT4126,Bohol,2.978923853,1,1,2012,DS,BohD
MT4126,Laguna,4.375428317,1,1,2012,DS,LagD
MT4126,Nueva Ecija,7.29969865,1,1,2012,DS,NueD
MT4128,Agusan,4.360145085,1,1,2012,DS,AguD
MT4128,Bohol,2.975458573,1,1,2012,DS,BohD
MT4128,Laguna,4.553224545,1,1,2012,DS,LagD
MT4128,Nueva Ecija,7.653637434,1,1,2012,DS,NueD
MT4129,Agusan,3.945473475,1,1,2012,DS,AguD
MT4129,Bohol,2.624784562,1,1,2012,DS,BohD
MT4129,Laguna,4.976672209,1,1,2012,DS,LagD
MT4129,Nueva Ecija,7.545492773,1,1,2012,DS,NueD
MT4134,Agusan,4.485880458,1,1,2012,DS,AguD
MT4134,Bohol,3.592230546,1,1,2012,DS,BohD
MT4134,Laguna,5.002679767,1,1,2012,DS,LagD
MT4134,Nueva Ecija,7.997292057,1,1,2012,DS,NueD
MT4139,Agusan,3.999388328,1,1,2012,DS,AguD
MT4139,Bohol,3.432191787,1,1,2012,DS,BohD
MT4139,Laguna,5.243686439,1,1,2012,DS,LagD
MT4139,Nueva Ecija,7.961321903,1,1,2012,DS,NueD
MT4140,Agusan,4.404585691,1,1,2012,DS,AguD
MT4140,Bohol,3.692305773,1,1,2012,DS,BohD
MT4140,Laguna,5.288443236,1,1,2012,DS,LagD
MT4140,Nueva Ecija,8.112069879,1,1,2012,DS,NueD
MT4141,Agusan,3.687587463,1,1,2012,DS,AguD
MT4141,Bohol,2.899251647,1,1,2012,DS,BohD
MT4141,Laguna,4.726581731,1,1,2012,DS,LagD
MT4141,Nueva Ecija,7.724750492,1,1,2012,DS,NueD
MT4143,Agusan,4.56250086,1,1,2012,DS,AguD
MT4143,Bohol,3.317449425,1,1,2012,DS,BohD
MT4143,Laguna,5.333386543,1,1,2012,DS,LagD
MT4143,Nueva Ecija,8.123899491,1,1,2012,DS,NueD
MT4144,Agusan,3.55022241,1,1,2012,DS,AguD
MT4144,Bohol,2.79074105,1,1,2012,DS,BohD
MT4144,Laguna,4.801471509,1,1,2012,DS,LagD
MT4144,Nueva Ecija,7.725633018,1,1,2012,DS,NueD
MT4145,Agusan,3.333828794,1,1,2012,DS,AguD
MT4145,Bohol,2.364671037,1,1,2012,DS,BohD
MT4145,Laguna,4.056492669,1,1,2012,DS,LagD
MT4145,Nueva Ecija,7.129265707,1,1,2012,DS,NueD
MT4151,Agusan,4.230736751,1,1,2012,DS,AguD
MT4151,Bohol,3.334863195,1,1,2012,DS,BohD
MT4151,Laguna,5.242790732,1,1,2012,DS,LagD
MT4151,Nueva Ecija,8.067070553,1,1,2012,DS,NueD
MT4155,Agusan,3.783011582,1,1,2012,DS,AguD
MT4155,Bohol,2.910197297,1,1,2012,DS,BohD
MT4155,Laguna,4.418610226,1,1,2012,DS,LagD
MT4155,Nueva Ecija,7.599525571,1,1,2012,DS,NueD
MT4156,Agusan,3.986700046,1,1,2012,DS,AguD
MT4156,Bohol,3.263692083,1,1,2012,DS,BohD
MT4156,Laguna,4.851290795,1,1,2012,DS,LagD
MT4156,Nueva Ecija,7.528806675,1,1,2012,DS,NueD
MT4157,Agusan,4.258519878,1,1,2012,DS,AguD
MT4157,Bohol,3.306471169,1,1,2012,DS,BohD
MT4157,Laguna,5.309567355,1,1,2012,DS,LagD
MT4157,Nueva Ecija,7.854112762,1,1,2012,DS,NueD
MT4160,Agusan,3.94367015,1,1,2012,DS,AguD
MT4160,Bohol,2.833987325,1,1,2012,DS,BohD
MT4160,Laguna,4.714925974,1,1,2012,DS,LagD
MT4160,Nueva Ecija,7.514798611,1,1,2012,DS,NueD
MT4162,Agusan,4.301541721,1,1,2012,DS,AguD
MT4162,Bohol,3.640179994,1,1,2012,DS,BohD
MT4162,Laguna,5.09030149,1,1,2012,DS,LagD
MT4162,Nueva Ecija,8.224490879,1,1,2012,DS,NueD
MT4164,Agusan,3.787502406,1,1,2012,DS,AguD
MT4164,Bohol,3.029169619,1,1,2012,DS,BohD
MT4164,Laguna,4.893283454,1,1,2012,DS,LagD
MT4164,Nueva Ecija,7.900642133,1,1,2012,DS,NueD
MT4166,Agusan,4.333842065,1,1,2012,DS,AguD
MT4166,Bohol,3.837013664,1,1,2012,DS,BohD
MT4166,Laguna,5.565921775,1,1,2012,DS,LagD
MT4166,Nueva Ecija,8.352103238,1,1,2012,DS,NueD
MT4168,Agusan,2.933670899,1,1,2012,DS,AguD
MT4168,Bohol,3.016170705,1,1,2012,DS,BohD
MT4168,Laguna,4.320942875,1,1,2012,DS,LagD
MT4168,Nueva Ecija,7.160829952,1,1,2012,DS,NueD
MT4169,Agusan,3.357608435,1,1,2012,DS,AguD
MT4169,Bohol,3.251092476,1,1,2012,DS,BohD
MT4169,Laguna,4.77437656,1,1,2012,DS,LagD
MT4169,Nueva Ecija,8.053069269,1,1,2012,DS,NueD
MT4170,Agusan,3.608154862,1,1,2012,DS,AguD
MT4170,Bohol,3.388176893,1,1,2012,DS,BohD
MT4170,Laguna,4.899655473,1,1,2012,DS,LagD
MT4170,Nueva Ecija,7.800081619,1,1,2012,DS,NueD
MT4177,Agusan,3.944986983,1,1,2012,DS,AguD
MT4177,Bohol,2.57771254,1,1,2012,DS,BohD
MT4177,Laguna,4.9192953,1,1,2012,DS,LagD
MT4177,Nueva Ecija,7.319936697,1,1,2012,DS,NueD
MT4181,Agusan,3.915658524,1,1,2012,DS,AguD
MT4181,Bohol,3.446813631,1,1,2012,DS,BohD
MT4181,Laguna,5.294771697,1,1,2012,DS,LagD
MT4181,Nueva Ecija,8.101782969,1,1,2012,DS,NueD
MT4182,Agusan,4.95382726,1,1,2012,DS,AguD
MT4182,Bohol,3.613077175,1,1,2012,DS,BohD
MT4182,Laguna,5.458754298,1,1,2012,DS,LagD
MT4182,Nueva Ecija,8.197606095,1,1,2012,DS,NueD
MT4185,Agusan,3.719995107,1,1,2012,DS,AguD
MT4185,Bohol,2.796179285,1,1,2012,DS,BohD
MT4185,Laguna,4.96718211,1,1,2012,DS,LagD
MT4185,Nueva Ecija,7.515764242,1,1,2012,DS,NueD
MT4186,Agusan,4.331925774,1,1,2012,DS,AguD
MT4186,Bohol,3.437542656,1,1,2012,DS,BohD
MT4186,Laguna,5.045538657,1,1,2012,DS,LagD
MT4186,Nueva Ecija,8.019171234,1,1,2012,DS,NueD
MT4187,Agusan,4.237928808,1,1,2012,DS,AguD
MT4187,Bohol,2.62604894,1,1,2012,DS,BohD
MT4187,Laguna,4.913765933,1,1,2012,DS,LagD
MT4187,Nueva Ecija,7.526894625,1,1,2012,DS,NueD
MT4189,Agusan,4.117834469,1,1,2012,DS,AguD
MT4189,Bohol,3.245461546,1,1,2012,DS,BohD
MT4189,Laguna,4.943432503,1,1,2012,DS,LagD
MT4189,Nueva Ecija,7.873831593,1,1,2012,DS,NueD
MT4191,Agusan,4.097592621,1,1,2012,DS,AguD
MT4191,Bohol,3.491821673,1,1,2012,DS,BohD
MT4191,Laguna,4.820473138,1,1,2012,DS,LagD
MT4191,Nueva Ecija,7.814410982,1,1,2012,DS,NueD
MT4192,Agusan,3.952384117,1,1,2012,DS,AguD
MT4192,Bohol,3.216379557,1,1,2012,DS,BohD
MT4192,Laguna,4.540653269,1,1,2012,DS,LagD
MT4192,Nueva Ecija,7.842849512,1,1,2012,DS,NueD
MT4193,Agusan,4.187993982,1,1,2012,DS,AguD
MT4193,Bohol,3.158491963,1,1,2012,DS,BohD
MT4193,Laguna,5.055756186,1,1,2012,DS,LagD
MT4193,Nueva Ecija,7.711658581,1,1,2012,DS,NueD
MT4197,Agusan,3.78275677,1,1,2012,DS,AguD
MT4197,Bohol,2.720099767,1,1,2012,DS,BohD
MT4197,Laguna,4.501431562,1,1,2012,DS,LagD
MT4197,Nueva Ecija,7.483377283,1,1,2012,DS,NueD
MT4199,Agusan,3.741149147,1,1,2012,DS,AguD
MT4199,Bohol,2.942528997,1,1,2012,DS,BohD
MT4199,Laguna,4.561323163,1,1,2012,DS,LagD
MT4199,Nueva Ecija,7.569694344,1,1,2012,DS,NueD
MT4200,Agusan,3.837311539,1,1,2012,DS,AguD
MT4200,Bohol,2.648541827,1,1,2012,DS,BohD
MT4200,Laguna,4.697718395,1,1,2012,DS,LagD
MT4200,Nueva Ecija,7.4572188,1,1,2012,DS,NueD
MT4204,Agusan,4.153868009,1,1,2012,DS,AguD
MT4204,Bohol,3.293462881,1,1,2012,DS,BohD
MT4204,Laguna,5.135884181,1,1,2012,DS,LagD
MT4204,Nueva Ecija,7.899164279,1,1,2012,DS,NueD
MT4208,Agusan,4.523072966,1,1,2012,DS,AguD
MT4208,Bohol,3.570724075,1,1,2012,DS,BohD
MT4208,Laguna,5.213471557,1,1,2012,DS,LagD
MT4208,Nueva Ecija,8.217054909,1,1,2012,DS,NueD
MT4210,Agusan,3.812076228,1,1,2012,DS,AguD
MT4210,Bohol,2.9834759,1,1,2012,DS,BohD
MT4210,Laguna,4.958673081,1,1,2012,DS,LagD
MT4210,Nueva Ecija,7.592396506,1,1,2012,DS,NueD
MT4211,Agusan,3.538087168,1,1,2012,DS,AguD
MT4211,Bohol,2.993306518,1,1,2012,DS,BohD
MT4211,Laguna,4.907685389,1,1,2012,DS,LagD
MT4211,Nueva Ecija,7.843427949,1,1,2012,DS,NueD
MT4215,Agusan,4.202223283,1,1,2012,DS,AguD
MT4215,Bohol,3.402805046,1,1,2012,DS,BohD
MT4215,Laguna,5.233508428,1,1,2012,DS,LagD
MT4215,Nueva Ecija,7.701573669,1,1,2012,DS,NueD
MT4216,Agusan,4.392864432,1,1,2012,DS,AguD
MT4216,Bohol,3.513459495,1,1,2012,DS,BohD
MT4216,Laguna,4.983524264,1,1,2012,DS,LagD
MT4216,Nueva Ecija,8.030167683,1,1,2012,DS,NueD
MT4218,Agusan,3.607604196,1,1,2012,DS,AguD
MT4218,Bohol,2.704434896,1,1,2012,DS,BohD
MT4218,Laguna,4.693057056,1,1,2012,DS,LagD
MT4218,Nueva Ecija,7.445529458,1,1,2012,DS,NueD
MT4219,Agusan,3.677735682,1,1,2012,DS,AguD
MT4219,Bohol,2.843893359,1,1,2012,DS,BohD
MT4219,Laguna,4.39844049,1,1,2012,DS,LagD
MT4219,Nueva Ecija,7.502197749,1,1,2012,DS,NueD
MT4221,Agusan,4.222218555,1,1,2012,DS,AguD
MT4221,Bohol,3.469989208,1,1,2012,DS,BohD
MT4221,Laguna,4.990962074,1,1,2012,DS,LagD
MT4221,Nueva Ecija,8.034819602,1,1,2012,DS,NueD
MT4222,Agusan,4.220523186,1,1,2012,DS,AguD
MT4222,Bohol,3.430425119,1,1,2012,DS,BohD
MT4222,Laguna,5.215512447,1,1,2012,DS,LagD
MT4222,Nueva Ecija,8.143138364,1,1,2012,DS,NueD
MT4223,Agusan,3.834998261,1,1,2012,DS,AguD
MT4223,Bohol,3.163506702,1,1,2012,DS,BohD
MT4223,Laguna,4.971233161,1,1,2012,DS,LagD
MT4223,Nueva Ecija,7.954982934,1,1,2012,DS,NueD
MT4224,Agusan,4.351789629,1,1,2012,DS,AguD
MT4224,Bohol,3.486438877,1,1,2012,DS,BohD
MT4224,Laguna,5.266223325,1,1,2012,DS,LagD
MT4224,Nueva Ecija,8.064630338,1,1,2012,DS,NueD
MT4227,Agusan,4.325507135,1,1,2012,DS,AguD
